"DATE_FORMAT(doc.date, ""%Y %m %d"")","nb","titre","titre"
"2021 03 19","1","120. Un roman Inachevé","Six lectures de pages d'Un Roman Inachevé"
"2021 03 21","1","120. Un roman Inachevé","Six lectures en diverses langues d'Un Roman Inachevé"
"2021 03 22","1","120. Un roman Inachevé","Six lectures en diverses langues d'Un Roman Inachevé"
"2021 03 24","1","120. Un roman Inachevé","Six lectures en diverses langues d'Un Roman Inachevé"
"2021 03 25","1","120. Un roman Inachevé","Six lectures en diverses langues d'Un Roman Inachevé"
"2021 03 28","1","120. Un roman Inachevé","Six lectures en diverses langues d'Un Roman Inachevé"
"2021 04 02","1","120. Un roman Inachevé","Six lectures de pages d'Un Roman Inachevé"
"2021 04 03","1","120. Un roman Inachevé","Six lectures en diverses langues d'Un Roman Inachevé"
"2021 04 05","1","140. Barbe Bleue","Qui se cache sous le nom de Barbe Bleue ?"
"2021 04 05","1","140. Barbe Bleue","L'univers de Barbe Bleue"
"2021 04 06","3","140. Barbe Bleue","Faust, le taureau…"
"2021 04 06","1","150. Version comique de Faust","20. L'univers animalier du Faust"
"2021 04 06","1","150. Version comique de Faust","90. Margo, la cavale"
"2021 04 06","1","150. Version comique de Faust","10. Bug Bunny, un cochon"
"2021 04 07","1","150. Version comique de Faust","20. L'univers animalier du Faust"
"2021 04 07","2","150. Version comique de Faust","30. La basse cour de Faust"
"2021 04 08","2","140. Barbe Bleue","Six pages de Barbe Bleue en langues."
"2021 04 09","1","140. Barbe Bleue","Six pages de Barbe Bleue en langues."
"2021 04 10","1","140. Barbe Bleue","Six pages de Barbe Bleue en langues."
"2021 04 11","1","140. Barbe Bleue","Six pages de Barbe Bleue en langues."
"2021 04 15","2","90. Dédale des traces","Trajectoire et son public"
"2021 04 18","1","150. Version comique de Faust","60. Les chansons de Margo"
"2021 04 19","1","130. Trajectoires","Le village de Recloses"
"2021 04 22","1","110. Le Poète","Six poèmes érotiques automatiques et censurés"
"2021 04 26","1","150. Version comique de Faust","40. Mephistopheles"
"2021 05 02","1","150. Version comique de Faust","60. Les chansons de Margo"
"2021 05 07","1","120. Un roman Inachevé","Une femme"
"2021 05 09","1","110. Le Poète","Poème politique 2"
"2021 06 01","1","110. Le Poète","Poème posthume n° 1"
"2021 06 06","1","Œuvres","Exposition à Sierre"
"2021 06 07","1","10. Dédale de l'inspiration","Poèmes en confinement"
"2021 06 16","1","10. Dédale de l'inspiration","Poème posthume n° 2"
"2021 06 28","5","10. Dédale de l'inspiration","Six posthumous poems"
"2021 07 05","2","30. Dédale des écrits","La disparition du Général Proust"
"2021 07 06","2","30. Dédale des écrits","La disparition du Général Proust"
"2021 07 09","2","30. Dédale des écrits","La disparition du Général Proust"
"2021 07 15","1","10. Dédale de l'inspiration","Posthumous Poem n°6 (my time)"
"2021 07 17","1","10. Dédale de l'inspiration","Posthumous poem n°5 (sometimes)"
"2021 08 28","3","10. Dédale de l'inspiration","Six readings of posthumous texts"
"2021 09 02","1","10. Dédale de l'inspiration","Six readings of posthumous texts"
"2021 09 03","1","10. Dédale de l'inspiration","Six readings of posthumous texts"
"2021 09 04","1","10. Dédale de l'inspiration","Six readings of posthumous texts"
"2021 09 06","1","10. Dédale de l'inspiration","Poème posthume n° 3"
"2021 09 10","1","10. Dédale de l'inspiration","Six posthumous poems"
"2021 10 02","1","100. Dédale des Vidéoséries","Une mort incertaine"
"2021 10 09","1","90. Dédale des traces","Personne, les cinq première minutes"
"2021 10 11","1","10. Dédale de l'inspiration","Texte Posthume 7"
"2021 11 01","1","60. Dédale des ombres","Texte Posthume n° 398761"
"2021 11 09","1","10. Dédale de l'inspiration","Texte Posthume 7"
"2021 11 11","1","10. Dédale de l'inspiration","Texte posthume 8 (His memory…)"
"2022 01 06","1","10. Dédale de l'inspiration","Poème Posthume n° 4"
"2022 01 16","1","Œuvres","Accident"
"2022 02 26","1","100. Dédale des Vidéoséries","Recueil de poèmes posthumes"
"2022 03 09","1","50. Dédale des lectures publiques","Lecture de 6 poèmes posthumes"
"2022 03 10","3","50. Dédale des lectures publiques","Lecture de 6 poèmes posthumes"
"2022 03 11","2","50. Dédale des lectures publiques","Lecture de 6 poèmes posthumes"
"2022 03 17","1","10. Dédale de l'inspiration","Poème Posthume n° 45096743"
"2022 04 11","1","10. Dédale de l'inspiration","Poème posthume n°32451098"
"2022 04 28","1","60. Dédale des ombres","Fragment posthume"
"2022 05 01","1","60. Dédale des ombres","TextePosthume 11"
"2022 07 17","1","90. Dédale des traces","Le Nanuq, animal fantastique"
"2022 07 19","1","60. Dédale des ombres","Roman génératif aléatoire"
"2022 07 20","1","60. Dédale des ombres","Poème posthume 9"
"2022 07 25","1","10. Dédale de l'inspiration","Poème Posthume 13"
"2022 08 03","1","10. Dédale de l'inspiration","La machine Humaine"
"2022 08 16","1","100. Dédale des Vidéoséries","Incertitudes"
"2022 08 19","1","20. Dédale des actes","Origines"
"2022 08 22","1","10. Dédale de l'inspiration","Un poème"
"2022 08 23","1","10. Dédale de l'inspiration","Dans le ciel"
"2022 08 24","1","110. Le Poète","Poème incertain"
"2022 08 25","1","100. Dédale des Vidéoséries","4120. Écritures (Saison I, Épisode 2)"
"2022 08 26","1","30. Dédale des écrits","Le roman de Pierre (…)"
"2022 08 31","1","10. Dédale de l'inspiration","Poème Posthume 10"
"2022 09 08","1","30. Dédale des écrits","Le roman de Pierre (…)"
"2022 09 13","1","10. Dédale de l'inspiration","Ils s'aimaient"
"2022 09 14","1","50. Dédale des lectures publiques","Lectures à plusieurs voix"
"2022 09 15","1","50. Dédale des lectures publiques","Lectures à plusieurs voix"
"2022 09 16","1","50. Dédale des lectures publiques","Choral du sommeil"
"2022 09 17","1","50. Dédale des lectures publiques","Lectures à plusieurs voix"
"2022 09 18","1","50. Dédale des lectures publiques","Lectures à plusieurs voix"
"2022 09 18","1","80. Dédale des ruines","La chute d'Apollon"
"2022 09 21","1","50. Dédale des lectures publiques","Lectures à plusieurs voix"
"2022 09 24","1","10. Dédale de l'inspiration","Poème posthume n° 14"
"2022 09 25","1","50. Dédale des lectures publiques","Lectures à plusieurs voix"
"2022 09 27","1","30. Dédale des écrits","Le roman de Pierre (…)"
"2022 10 02","1","30. Dédale des écrits","Le Madera"
"2022 10 03","1","10. Dédale de l'inspiration","Il vit"
"2022 10 06","1","30. Dédale des écrits","Le roman de Pierre (…)"
"2022 10 11","1","30. Dédale des écrits","Le roman de Pierre (…)"
"2022 10 14","1","30. Dédale des écrits","Le Roman de Pierre (…)"
"2022 10 15","1","50. Dédale des lectures publiques","Six lectures multilingues de divers univers du Roman de Pierre"
"2022 10 16","1","50. Dédale des lectures publiques","Six lectures multilingues de divers univers du Roman de Pierre"
"2022 10 17","1","50. Dédale des lectures publiques","Six lectures multilingues de divers univers du Roman de Pierre"
"2022 10 18","1","50. Dédale des lectures publiques","Six lectures multilingues de divers univers du Roman de Pierre"
"2022 10 19","1","50. Dédale des lectures publiques","Six lectures multilingues de divers univers du Roman de Pierre"
"2022 10 20","2","50. Dédale des lectures publiques","Six lectures multilingues de divers univers du Roman de Pierre"
"2022 10 23","1","10. Dédale de l'inspiration","Violon sans corde"
"2022 10 27","2","30. Dédale des écrits","Le Roman de Pierre (…)"
"2022 11 03","1","30. Dédale des écrits","Le Roman de Pierre (…)"
"2022 11 05","1","10. Dédale de l'inspiration","La Lune"
"2022 11 09","1","30. Dédale des écrits","Le Roman de Pierre"
"2022 11 11","1","10. Dédale de l'inspiration","Poème sonore automatique multilingue"
"2022 11 14","1","10. Dédale de l'inspiration","Poème visuel automatique"
"2022 11 18","1","10. Dédale de l'inspiration","Poème Trans"
"2022 11 29","1","100. Dédale des Vidéoséries","Le Roman de Pierre (…)"
"2022 12 01","1","10. Dédale de l'inspiration","Le silence (1)"
"2022 12 09","1","100. Dédale des Vidéoséries","Le vol des étourneaux"
"2022 12 13","1","100. Dédale des Vidéoséries","Les couteaux"
"2022 12 18","1","100. Dédale des Vidéoséries","Le temps passait"
"2022 12 27","1","100. Dédale des Vidéoséries","Indifférence"
"2022 12 31","1","10. Dédale de l'inspiration","Vœux 2023"
"2023 01 03","1","10. Dédale de l'inspiration","Face au levant"
"2023 01 09","1","100. Dédale des Vidéoséries","La chasse"
"2023 01 16","1","100. Dédale des Vidéoséries","Le Roman de Pierre (…)"
"2023 01 22","1","100. Dédale des Vidéoséries","Le Roman de Pierre (…)"
"2023 01 23","1","10. Dédale de l'inspiration","Écriture"
"2023 01 24","1","10. Dédale de l'inspiration","Poème posthume"
"2023 01 28","1","10. Dédale de l'inspiration","Poèmes Posthumes"
"2023 01 31","1","100. Dédale des Vidéoséries","Texte Posthume"
"2023 02 09","1","100. Dédale des Vidéoséries","Un monde incertain, roman quantique"
"2023 02 22","1","10. Dédale de l'inspiration","Métapoème"
"2023 03 05","3","50. Dédale des lectures publiques","Chorals"
"2023 03 08","1","50. Dédale des lectures publiques","Chorals"
"2023 03 10","1","50. Dédale des lectures publiques","Chorals"
"2023 03 19","1","50. Dédale des lectures publiques","Chorals"
"2023 03 23","1","10. Dédale de l'inspiration","Pluie de poésie"
"2023 06 12","1","10. Dédale de l'inspiration","Poème 349871"
"2023 07 18","1","60. Dédale des ombres","Archives littéraires"
"2023 07 23","1","90. Dédale des traces","Big Bug Bunny"
"2023 07 23","1","90. Dédale des traces","Bleus"
"2023 07 24","1","60. Dédale des ombres","Poèmes pour Gilberte N…"
"2023 07 24","1","90. Dédale des traces","Nouvelles"
"2023 07 26","1","90. Dédale des traces","Nouvelles"
"2023 07 30","1","60. Dédale des ombres","Poèmes pour Gilberte N…"
"2023 08 31","2","110. Le Poète","Apoèmes"
"2023 09 07","1","60. Dédale des ombres","Poèmes du Poète Aveugle"
"2023 09 21","1","70. Dédale des paroles","Poème d'amour"
"2023 09 25","1","70. Dédale des paroles","Rock-Poème n ° 154756"
"2023 09 25","1","10. Dédale de l'inspiration","Rocks à volonté"
"2023 09 28","1","70. Dédale des paroles","Rock n° 82672"
"2023 09 28","1","70. Dédale des paroles","Rock-Poème n ° 323976"
"2023 09 28","1","70. Dédale des paroles","Rock n° 111976"
"2023 10 02","1","70. Dédale des paroles","Rock n° 82672"
